ProductCode, Description, ExFactoryPrice, PackagingType, DiscountGroup ,CustomerDiscount , VATClass, Brand, Weight
"J31010101","Pork Chipolatas 200gms","121","PC","31010101","No","VAT16","JF-SAUSAGE","0.200"
"J31010102","Pork Chipolatas 1kg","589.5","PC","31010102","No","VAT16","JF-SAUSAGE","1.000"
"J31010103","Pork Cocktail Chipolatas 1kg","761","PC","31010103","No","VAT16","JF-SAUSAGE","1.000"
"J31010104","Cocktail Sausages 1kg","692.5","PC","31010104","No","VAT16","JF-SAUSAGE","1.000"
"J31010105","Pork Cocktail Sausages 500gms","0","PC","","No","VAT16","JF-SAUSAGE","0.500"
"J31010106","Pork Chipolatas 4kgs","2,356","PC","","No","VAT16","JF-SAUSAGE","4.000"
"J31010107","Beef Cocktail Sausages 500gms","236.5","PC","","No","VAT16","JF-SAUSAGE","0.500"
"J31010108","Pork Chipolatas 1kg - SER","589","PC","31010102","No","VAT16","JF-SAUSAGE","1.000"
"J31010201","Premium Pork Sausages 400gms","183","PC","31010201","No","VAT16","JF-SAUSAGE","0.400"
"J31010202","Premium Pork Sausages 4kgs","1,873.5","PC","31010202","No","VAT16","JF-SAUSAGE","4.000"
"J31010203","Premium Pork Sausages 1kg","468","PC","31010203","No","VAT16","JF-SAUSAGE","1.000"
"J31010204","Meaty Beef Sausage 400g - Prom","170.8","PC","","No","VAT16","JF-SAUSAGE","0.800"
"J31010301","Meaty Pork Sausage 400g- Xpt","202.8","PC","31010301","No","VAT16","JF-SAUSAGE","0.400"
"J31010302","Meaty Pork Sausages 1kg","455.5","PC","31010302","No","VAT16","JF-SAUSAGE","1.000"
"J31010303","Meaty Pork Sausages 4kgs","1,821.5","PC","31010303","No","VAT16","JF-SAUSAGE","4.000"
"J31010304","Meaty Pork Sausages 1kg - SER","455.5","PC","31010302","No","VAT16","JF-SAUSAGE","1.000"
"J31010305","Meaty Pork Sausages 1kg Bonus","0","PC","","No","VAT16","JF-SAUSAGE","1.000"
"J31010306","Meaty Pork Sausage 400g  Promo","136.8","PC","","No","VAT16","JF-SAUSAGE","0.800"
"J31010307","Meaty Pork Sausage 400g  bonus","0","PC","","No","VAT16","JF-SAUSAGE","0.400"
"J31010401","Spicy Pork Sausages 400gms","228.5","PC","31010401","No","VAT16","JF-SAUSAGE","0.400"
"J31010402","Pork & Herb Sausages 400gms","235.4","PC","31010402","No","VAT16","JF-SAUSAGE","0.400"
"J31010403","Pork & Herb Sausages 1kg","572","PC","31010403","No","VAT16","JF-SAUSAGE","1.000"
"J31010404","Spicy Pork Sausage Meat 1kg","376","PC","","No","VAT16","JF-SAUSAGE","1.000"
"J31010405","Spicy Pork Sausages 4kgs","2,260.5","PC","31010405","No","VAT16","JF-SAUSAGE","4.000"
"J31010406","Spicy Pork Sausage Meat 3kgs","1,128","PC","31010406","No","VAT16","JF-SAUSAGE","3.000"
"J31010407","Pork & Herb Sausages 4kgs","2,286","PC","31010407","No","VAT16","JF-SAUSAGE","4.000"
"J31010408","Pork & Herb Chipolatas 1kg","755.5","PC","31010408","No","VAT16","JF-SAUSAGE","1.000"
"J31010411","Spicy Pork Sausages 1kg","565.5","PC","31010411","No","VAT16","JF-SAUSAGE","1.000"
"J31010412","Spicy Pork Sausage Meat 400gms","176.8","PC","31010412","No","VAT16","JF-SAUSAGE","0.400"
"J31010413","Pork & Herb Sausage 26gms /kg","376","PIECE","","No","VAT16","JF-SAUSAGE","1.000"
"J31010414","Pork & Herb Sausage 45gms /kg","376","PC","","No","VAT16","JF-SAUSAGE","1.000"
"J31010420","Spicy Pork Sausages V/P 1kg","311","PC","31010420","No","VAT16","JF-SAUSAGE","1.000"
"J31010501","Pork Sausage Meat 400gms","142","PC","31010501","No","VAT16","JF-SAUSAGE","0.400"
"J31010502","Value Pack Pork Sausages 1kg","367","PC","31010502","No","VAT16","JF-SAUSAGE","1.000"
"J31010503","Pork Sausage Meat 3kgs","993","PC","31010503","No","VAT16","JF-SAUSAGE","3.000"
"J31010504","Pork Sausage Meat 1kg","331","PC","31010504","No","VAT16","JF-SAUSAGE","1.000"
"J31010505","Pork Catering (Economy) 1kg","332.76","PC","31015501","No","VAT16","JF-SAUSAGE","1.000"
"J31010506","Pork Sausage Value Pack- Bonus","0","PC","","No","VAT16","JF-SAUSAGE","1.000"
"J31010507","Pork Sausage Value Pack- Promo","292.5","PC","","No","VAT16","JF-SAUSAGE","1.000"
"J31010508","Pork Pie Meat per kg","323.5","PC","","No","VAT16","JF-SAUSAGE","1.000"
"J31010520","Classic Pork Sausages 500gms","146.56","PC","","No","VAT16","JF-SAUSAGE","0.500"
"J31010521","Classic Pork Sge 500gms-Promo","136.75","PC","","No","VAT16","JF-SAUSAGE","0.500"
"J31010601","Boerewors - Pork 500gms","285.5","PC","31010601","No","VAT16","JF-SAUSAGE","0.500"
"J31010602","Boerewors - Pork 700gms","0","PC","","No","VAT16","JF-SAUSAGE","0.700"
"J31010603","Boerewors - Pork 1kg","534","PC","31010603","No","VAT16","JF-SAUSAGE","1.000"
"J31010604","Boerewors - Pork 500gms - SER","285.5","PC","31010601","No","VAT16","JF-SAUSAGE","0.500"
"J31010606","Boerewors Chipolatas /kg","579.5","PC","31010606","No","VAT16","JF-SAUSAGE","1.000"
"J31010607","Pork Boerewors Meat 3kgs","1,249.5","PC","31010604","No","VAT16","JF-SAUSAGE","3.000"
"J31010608","Pork Boerewors Meat 1 Kg","426","KG","","No","VAT16","JF-SAUSAGE","1.000"
"J31010701","Budget Bites 500gms","133.75","PC","31010701","No","VAT16","JF-MIN BIT","0.500"
"J31010702","Budget Bites, 500gms - Bonus","0","PC","","No","VAT16","JF-MIN BIT","0.500"
"J31010803","Smoked Mini Bites 250gms","86.5","PC","31010803","No","VAT16","JF-MIN BIT","0.250"
"J31010804","Smoked Mini Bites 500gms","143","PC","31010804","No","VAT16","JF-MIN BIT","0.500"
"J31010805","Smoked Mini Bites 1kg","212","PC","31010805","No","VAT16","JF-MIN BIT","1.000"
"J31010806","Smoked Mini Bites 250gms-Bonus","0","PC","","No","VAT16","JF-MIN BIT","0.250"
"J31010807","Tasty Chicken Mini Bites 500gm","143","PC","","No","VAT16","JF-MIN BIT","0.500"
"J31010810","Smoked Mini Bites 300gms","0","PC","","No","VAT16","JF-MIN BIT","0.300"
"J31010820","MiniBites/Beans in Sauce 440gm","97.42","PC","","No","VAT16","JF-CANPROD","0.440"
"J31010901","Pork & Garlic IQF Ssgs 454gms","0","PC","","No","VAT16","JF-SAUSAGE","0.454"
"J31011001","Pork & Herb IQF Ssgs 454gms","0","PC","","No","VAT16","JF-SAUSAGE","0.454"
"J31011101","Pork Cumberland IQF Ssg 454gms","0","PC","","No","VAT16","JF-SAUSAGE","0.454"
"J31011102","Pork Cumberland Ssg IQF Ikg","515","KG","31011102","No","VAT16","JF-SAUSAGE","1.000"
"J31011201","Pork IQF Sausages 454gms","167.299","PC","","No","VAT16","JF-SAUSAGE","0.454"
"J31011301","Pork Catering 500gms","0","PC","31011301","No","VAT16","JF-SAUSAGE","0.500"
"J31011302","Pork Catering 1kg","0","PC","31011302","No","VAT16","JF-SAUSAGE","1.000"
"J31011305","Choma Sausage 150gms","63.375","PC","","No","VAT16","JF-DELICAT","0.150"
"J31011306","Discontinued","167.7","PC","31011306","No","VAT16","JF-DELICAT","0.300"
"J31011307","Choma Bite 250gms","0","PC","","No","VAT16","JF-DELICAT","0.250"
"J31011308","Pork Cocktail Bites 300gms","141.9","PC","","No","VAT16","JF-DELICAT","0.300"
"J31011309","Pork Choma Sausage 500gms","205.6","PC","31011309","No","VAT16","JF-DELICAT","0.500"
"J31011401","Turkey Stuffing 400gms","203","PC","31011401","No","VAT16","JF-SAUSAGE","0.400"
"J31011402","Turkey Stuffing 3kgs","1,092","PC","31011402","No","VAT16","JF-SAUSAGE","3.000"
"J31011403","Turkey Stuffing 1kg","455.5","KG","","No","VAT16","JF-SAUSAGE","1.000"
"J31011406","Turkey Stuffing 400gms - SER","0","PC","31011401","No","VAT16","JF-SAUSAGE","0.400"
"J31011504","Low Fat Pork Sausage, 400 gms","203","PC","31011504","No","VAT16","JF-SAUSAGE","0.400"
"J31011505","Low Fat Pork Sausage, 1 Kg","455.5","PC","31010302","No","VAT16","JF-SAUSAGE","1.000"
"J31015101","Beef Chipolatas 200gms","121","PC","31015101","No","VAT16","JF-SAUSAGE","0.200"
"J31015102","Beef Chipolatas 1kg","589.5","PC","31015102","No","VAT16","JF-SAUSAGE","1.000"
"J31015103","Beef Cocktail Chipolatas 1kg","761","PC","31015103","No","VAT16","JF-SAUSAGE","1.000"
"J31015104","Beef Chipolatas 1kg - SER","589","PC","31015102","No","VAT16","JF-SAUSAGE","1.000"
"J31015201","Meaty Beef Sausages 400gms","203","PC","31015201","No","VAT16","JF-SAUSAGE","0.400"
"J31015202","Meaty Beef Sausages 1kg","455.5","PC","31015202","No","VAT16","JF-SAUSAGE","1.000"
"J31015203","Meaty Beef Sausages 4kgs","1,821.5","PC","31015203","No","VAT16","JF-SAUSAGE","4.000"
"J31015204","Meaty Beef Sausage 400g Promo","136.8","PC","","No","VAT16","JF-SAUSAGE","0.800"
"J31015205","Meaty Beef Sausage 400g -bonus","0","PC","","No","VAT16","JF-SAUSAGE","0.400"
"J31015206","NAS Beef Sausages 960gm","274.56","PC","","No","VAT16","JF-SAUSAGE","0.960"
"J31015207","Meaty Beef Sausages 1kg - SER","455.5","PC","31015202","No","VAT16","JF-SAUSAGE","1.000"
"J31015208","Jumbo Meaty Beef Sausag 1.75kg","816.375","PC","31015202","No","VAT16","JF-SAUSAGE","1.750"
"J31015301","Spicy Beef Sausages 400gms","228.5","PC","31015301","No","VAT16","JF-SAUSAGE","0.400"
"J31015302","Spicy Beef Sausage Meat 3kgs","1,242","PC","31015302","No","VAT16","JF-SAUSAGE","3.000"
"J31015303","Spicy Beef Sausage Meat 1kg","376","PC","","No","VAT16","JF-SAUSAGE","1.000"
"J31015304","Spicy Beef Sausages 4kgs","2,260","PC","31015304","No","VAT16","JF-SAUSAGE","4.000"
"J31015305","Spicy Beef Sausages 1kg","565.5","PC","31015305","No","VAT16","JF-SAUSAGE","1.000"
"J31015306","Spicy Beef Sausage 1kg Ex long","565.5","PC","31015306","No","VAT16","JF-SAUSAGE","1.000"
"J31015307","Spicy Beef Sausage 400gm-Bonus","0","PC","","No","VAT16","JF-SAUSAGE","0.400"
"J31015308","Spicy Beef Chipolatas","730.5","PC","","No","VAT16","JF-SAUSAGE","1.000"
"J31015310","Spicy Beef Sausages V/P 1kg","311","PC","31015310","No","VAT16","JF-SAUSAGE","1.000"
"J31015401","Value Pack Beef Sausages 1kg","367","PC","31015401","No","VAT16","JF-SAUSAGE","1.000"
"J31015402","Beef Sausage Meat 3kgs","993.3","PC","31015402","No","VAT16","JF-SAUSAGE","3.000"
"J31015403","Beef Sausage Meat 400gms","142","PC","31015403","No","VAT16","JF-SAUSAGE","0.400"
"J31015404","Beef Sausage Meat 1kg","331","PC","31015404","No","VAT16","JF-SAUSAGE","1.000"
"J31015405","Beef Biltong Bulk","2,045","KG","","No","VAT16","JF-DELICAT","1.000"
"J31015406","Beef Sausage Meat 1kg - Bonus","0","PC","","No","VAT16","JF-SAUSAGE","1.000"
"J31015407","Beef Sausage Value Pack Bonus","0","PC","","No","VAT16","JF-SAUSAGE","1.000"
"J31015408","Beef Sausage Value pack- Promo","278.5","PC","","No","VAT16","JF-SAUSAGE","1.000"
"J31015501","Beef Sausages (Economy) 1kg","332.76","PC","31015501","No","VAT16","JF-SAUSAGE","1.000"
