OutletCode, Description, Address, ContactPerson, DisountGroupCode, RouteCode, PriceGroup, SpecialPrice , Discount, VATRates, Credit
"1","A & K Mobile Camping Limited","P.O. Box 59749","556664","The Accountant","90119-UPC","TSALES","","0","0","VAT16","0"
"101","Braeburn High School-Catering","P.O.Box 16944","","The Accountant","00101-NRB","UTHIRU","","0","0","VAT16","0"
"105","Kenya Safari Lodges-Ngulia S.L","P.O. Box 90414","0147-30091/30000","The Accountant","00350-UPC","MSA - TSV","COAST","0","0","VAT16","0"
"108","Kenton College","P.O. Box 30017","560260","Accountant","00108-NRB","TSALES","","0","0","VAT16","0"
"111","Kianda Catering Department","P.O. Box 374","441934","The Accountant","111-NRB","TSALES","ABC5","0","0","VAT16","0"
"113","Settlers Stores Ltd","P.O. Box 7","22702/32005","","00113-UPC","NYERI","UPC","0","0","VAT16","0"
"114","Mara Sopa Ltd","P.O. Box 72630","750183"," The Accountant","00114-NRB","TSALES","","0","0","VAT16","0"
"115","Braeburn Primary School","P.O. Box 14944","861144","The Accountant","00101-NRB","UTHIRU","","0","0","VAT16","0"
"116","Veterinary Lab.Sports Club","P.O. Box 29105","630324","The  Accountant","00116-NRB","UTHIRU","","0","0","VAT16","0"
"117","K.S.P.C.A.","P.O. Box 24203","890,806,882,500,882,000","The Accountant","00117-NRB","TSALES","","0","0","VAT16","0"
"12","Lord Errols Gourmet Restaurant","P.O. Box 999","522,433,522,521,522,000","The Accountant","00012-NRB","TSALES","","0","0","VAT16","0"
"121","Steers Kenya","P.O. Box 49842","536261","The Accountant","00121-NRB","VARIOUS","","0","0","VAT16","0"
"125","Tortilis Camp","P.O. Box 39806","751073/750485","Finance Manager","00132-NRB","TSALES","","0","0","VAT16","0"
"126","Leisure Lodges","P.O. Box 84383","0127-2620, 2011-5","The Accountant","00126-UPC","MSA - S.C","COAST","0","0","VAT16","0"
"129","Shaan Enterprises","P.O. Box 66","0176-2505, 2631","The Accountant","00129-UPC","NYERI","UPC","0","0","VAT16","0"
"13","Bamburi Beach Hotel","P.O. Box 83966","011-485611/80","The Accountant","00013-UPC","MSA - SHA","COAST","0","0","VAT16","0"
"130","Limuru Country Club","P.O. Box 10","0154-73338/189","","00130-NRB","PR III","","0","0","VAT16","0"
"131","Nairobi Safari Club","P.O. Box 43564","521333"," Financial Controller","00131-NRB","TSALES","","0","0","VAT16","0"
"132","Cheli & Peacock","P.O. Box 39806","748327, 748307"," Financial Controller","00132-NRB","TSALES","","0","0","VAT16","0"
"134","Olonana Ltd","P.O. Box 59749","6050287"," Financial Controller","","TSALES","","0","0","VAT16","0"
"135","Coomete Farm","","","The Accountant","","TSALES","","0","0","VAT16","0"
"137","Kenya Institute of Admin.","","","The Accountant","00137-NRB","UTHIRU","","0","0","VAT16","0"
"14","Banda School","P.O. Box 24722","891260/891957/891244","Financial Controller","00014-NRB","MIX III","","0","0","VAT16","0"
"141","Silver Holdings-Mara Intrepids","o/a Mara Intrepids/Mara Explor","0305 22168","Financial Controller","00141-NRB","TSALES","","0","0","VAT16","0"
