ProductCode, PriceGroupCode, Value
"31010102","ABC","486.5"
"31010102","AHMED SEIF","2.51"
"31010102","ASC","446"
"31010102","ASMARA","3.28"
"31010102","B/CHOICE","2.78"
"31010102","B/CHOICE 2","2.83"
"31010102","B/EMB 2","2.07"
"31010102","BABY LOIN","486.5"
"31010102","BAMBIS","3.63"
"31010102","BCLSRITDSM","2.78"
"31010102","BELLY","486.5"
"31010102","BF OLD  SP","486.5"
"31010102","BOBS BAR","446"
"31010102","BRIGHT","2.78"
"31010102","BRITISH","408.75"
"31010102","BRITISH_AD","3.5"
"31010102","CH-DAR-ES","2.78"
"31010102","CHRIS","3.42"
"31010102","COASTB","468.05"
"31010102","DOR_AGAK","3.96"
"31010102","EXFACTORY2","2.78"
"31010102","EXFACTORY3","2.78"
"31010102","EXFACTORYC","2.78"
"31010102","F.O.C.","0"
"31010102","FOB","3.28"
"31010102","FOB010107","4.26"
"31010102","FOB11204","3.44"
"31010102","FOB11204IA","3.44"
"31010102","FOB11204IK","3.44"
"31010102","FOB11204OB","3.44"
"31010102","FOB11204PP","3.44"
"31010102","FOB11204RI","3.44"
"31010102","FOB150705","3.79"
"31010102","GERM EMBAS","3.93"
"31010102","GLACIERES","3.44"
"31010102","GONDENI","446"
"31010102","HANA_GEO","3.93"
"31010102","HERITAGE","486.5"
"31010102","HOLIDAY2","486.5"
"31010102","INDIAN","468.3"
"31010102","INNSCOR2","486.5"
"31010102","KIJENGE_S","3.57"
"31010102","LABADE","3.44"
"31010102","MAX MART","4.07"
"31010102","MSADEC","496.5"
"31010102","MSAHOTEL","494"
"31010102","MT_KENYA","357.75"
"31010102","NAIROBI","440.95"
"31010102","NAIROBISCH","440.95"
"31010102","NASMSA","441"
"31010102","NRBDEC","486.5"
"31010102","NRBHOTEL","486.5"
"31010102","NYALI","446"
"31010102","OBEROI","3.44"
"31010102","OLJUMOKE","77.86"
"31010102","PAKLTD","3.57"
"31010102","PAULINE","3.73"
"31010102","PDA_FOC","0"
"31010102","PK DRIFT U","468.3"
"31010102","PK HEM UPC","468.3"
"31010102","PK SHIPSCH","468.3"
"31010102","PORK SPECX","446"
"31010102","PORK/BEEF","446"
"31010102","RASHID","5.3"
"31010102","SCORE","3.42"
"31010102","SERENA","486.5"
"31010102","SERENA CH","3.42"
"31010102","SERENA-NEW","3.28"
"31010102","SERENA-TZ","2.78"
"31010102","SERTZOLDIS","2.78"
"31010102","SHOPRITE","3.42"
"31010102","SODEX-FAC","3.5"
"31010102","SPIN_ABU","4.35"
"31010102","SPIN_BAH","4.35"
"31010102","SPIN_RETAI","4.07"
"31010102","STAFF","162"
"31010102","STAFF 2007","174"
"31010102","STAFF B","160"
"31010102","TCS-AIR","3.5"
"31010102","TEST","463.05"
"31010102","TESTB","473.5"
"31010102","TIWI","468.3"
"31010102","TPS-RWANDA","4.7"
"31010102","TZ 010608","2.98"
"31010102","U/TURN MW.","2.71"
"31010102","UCHUMI-UG","4.87"
"31010102","UPPER-ZON","3.57"
"31010102","U-TURN","2.78"
"31010102","UTURN07","2.83"
"31010102","WATSON CAT","445.95"
"31010102","X","468.05"
"31010102","YR-CHOICE","3.13"
"31015102","AHMED SEIF","2.65"
"31015102","AL_JAZIRA","3.83"
"31015102","ASC","445.95"
"31015102","ASMARA","3.43"
"31015102","B/CHOICE","2.93"
"31015102","B/CHOICE 2","3.01"
"31015102","B/EMB 2","2.16"
"31015102","BAMBIS","3.63"
"31015102","BCL DISC","2.94"
"31015102","BCLSRITDSM","2.93"
"31015102","BOBS BAR","445.95"
"31015102","BRIGHT","2.93"
"31015102","BRITISH_AD","3.5"
"31015102","CH-DAR-ES","2.93"
"31015102","CHRIS","3.57"
"31015102","COASTB","445.95"
"31015102","DOR_AGAK","4.79"
"31015102","EXFACTORY2","2.93"
"31015102","EXFACTORY3","2.93"
"31015102","EXFACTORYC","2.93"
"31015102","F.O.C.","0"
"31015102","FOB","3.43"
"31015102","FOB010107","4.46"
"31015102","FOB11204","3.6"
"31015102","FOB11204IA","3.6"
"31015102","FOB11204IK","3.6"
"31015102","FOB11204OB","3.6"
"31015102","FOB11204PP","3.6"
"31015102","FOB11204RI","3.6"
"31015102","FOB150705","3.96"
"31015102","GERM EMBAS","3.93"
"31015102","GLACIERES","3.6"
"31015102","GONDENI","445.95"
"31015102","HANA_GEO","3.93"
"31015102","INDIAN","468.2475"
"31015102","KIJENGE_S","3.57"
"31015102","LABADE","3.6"
"31015102","MAX MART","4.26"
"31015102","MSADEC","445.95"
"31015102","MT_KENYA","357.75"
"31015102","NAIROBI","440.95"
"31015102","NAIROBISCH","440.95"
